record_date,debt_outstanding_amt,fiscal_year,fiscal_calendar_note
1948-06-30,252292246512.99,1948,FY ends Jun (Jul-Jun)
1949-06-30,252770359860.33,1949,FY ends Jun (Jul-Jun)
1950-06-30,257357352351.04,1950,FY ends Jun (Jul-Jun)
1951-06-29,255221976814.93,1951,FY ends Jun (Jul-Jun)
1952-06-30,259105178785.43,1952,FY ends Jun (Jul-Jun)
1953-06-30,266071061638.57,1953,FY ends Jun (Jul-Jun)
1954-06-30,271259599108.46,1954,FY ends Jun (Jul-Jun)
1955-06-30,274374222802.62,1955,FY ends Jun (Jul-Jun)
1956-06-30,272750813649.32,1956,FY ends Jun (Jul-Jun)
1957-06-30,270527171896.43,1957,FY ends Jun (Jul-Jun)
1958-06-30,276343217745.81,1958,FY ends Jun (Jul-Jun)
1959-06-30,284705907078.22,1959,FY ends Jun (Jul-Jun)
1960-06-30,286330760848.37,1960,FY ends Jun (Jul-Jun)
1961-06-30,288970938610.05,1961,FY ends Jun (Jul-Jun)
1962-06-30,298200822720.87,1962,FY ends Jun (Jul-Jun)
1963-06-30,305859632996.41,1963,FY ends Jun (Jul-Jun)
1964-06-30,311712899257.3,1964,FY ends Jun (Jul-Jun)
1965-06-30,317273898983.64,1965,FY ends Jun (Jul-Jun)
1966-06-30,319907087795.48,1966,FY ends Jun (Jul-Jun)
1967-06-30,326220937794.54,1967,FY ends Jun (Jul-Jun)
1968-06-30,347578406425.88,1968,FY ends Jun (Jul-Jun)
1969-06-30,353720253841.41,1969,FY ends Jun (Jul-Jun)
1970-06-30,370918706949.93,1970,FY ends Jun (Jul-Jun)
1971-06-30,398129744455.54,1971,FY ends Jun (Jul-Jun)
1972-06-30,427260460940.5,1972,FY ends Jun (Jul-Jun)
1973-06-30,458141605312.09,1973,FY ends Jun (Jul-Jun)
1974-06-30,475059815731.55,1974,FY ends Jun (Jul-Jun)
1975-06-30,533189000000.0,1975,FY ends Jun (Jul-Jun)
1976-06-30,620433000000.0,1976,FY ends Jun (Jul-Jun)
1977-09-30,698840000000.0,1977,FY ends Sep (Oct-Sep)
1978-09-30,771544000000.0,1978,FY ends Sep (Oct-Sep)
